graph_id,family,split,leader,atg_path
random_v1_129,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_129.json
random_v1_13,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_13.json
random_v1_130,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_130.json
random_v1_131,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_131.json
random_v1_132,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_132.json
random_v1_133,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_133.json
random_v1_134,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_134.json
random_v1_135,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_135.json
random_v1_136,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_136.json
random_v1_137,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_137.json
random_v1_138,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_138.json
random_v1_139,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_139.json
random_v1_14,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_14.json
random_v1_140,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_140.json
random_v1_141,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_141.json
random_v1_142,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_142.json
random_v1_143,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_143.json
random_v1_144,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_144.json
random_v1_145,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_145.json
random_v1_146,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_146.json
random_v1_147,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_147.json
random_v1_148,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_148.json
random_v1_149,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_149.json
random_v1_15,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_15.json
random_v1_150,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_150.json
random_v1_151,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_151.json
random_v1_152,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_152.json
random_v1_153,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_153.json
random_v1_154,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_154.json
random_v1_155,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_155.json
random_v1_156,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_156.json
random_v1_157,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_157.json
random_v1_158,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_158.json
random_v1_159,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_159.json
random_v1_16,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_16.json
random_v1_160,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_160.json
random_v1_161,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_161.json
random_v1_162,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_162.json
random_v1_163,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_163.json
random_v1_164,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_164.json
random_v1_165,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_165.json
random_v1_166,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_166.json
random_v1_167,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_167.json
random_v1_168,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_168.json
random_v1_169,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_169.json
random_v1_17,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_17.json
random_v1_170,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_170.json
random_v1_171,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_171.json
random_v1_172,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_172.json
random_v1_173,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_173.json
random_v1_174,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_174.json
random_v1_175,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_175.json
random_v1_176,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_176.json
random_v1_177,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_177.json
random_v1_178,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_178.json
random_v1_179,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_179.json
random_v1_18,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_18.json
random_v1_180,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_180.json
random_v1_181,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_181.json
random_v1_182,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_182.json
random_v1_183,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_183.json
random_v1_184,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_184.json
random_v1_185,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_185.json
random_v1_186,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_186.json
random_v1_187,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_187.json
random_v1_188,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_188.json
random_v1_189,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_189.json
random_v1_19,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_19.json
random_v1_190,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_190.json
random_v1_191,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_191.json
random_v1_192,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_192.json
random_v1_193,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_193.json
random_v1_194,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_194.json
random_v1_195,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_195.json
random_v1_196,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_196.json
random_v1_197,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_197.json
random_v1_198,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_198.json
random_v1_199,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_199.json
random_v1_2,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_2.json
random_v1_20,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_20.json
random_v1_200,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_200.json
random_v1_201,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_201.json
random_v1_202,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_202.json
random_v1_203,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_203.json
random_v1_204,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_204.json
random_v1_205,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_205.json
random_v1_206,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_206.json
random_v1_207,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_207.json
random_v1_208,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_208.json
random_v1_209,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_209.json
random_v1_21,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_21.json
random_v1_210,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_210.json
random_v1_211,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_211.json
random_v1_212,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_212.json
random_v1_213,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_213.json
random_v1_214,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_214.json
random_v1_215,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_215.json
random_v1_216,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_216.json
random_v1_217,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_217.json
random_v1_218,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_218.json
random_v1_219,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_219.json
random_v1_22,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_22.json
random_v1_220,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_220.json
random_v1_221,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_221.json
random_v1_222,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_222.json
random_v1_223,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_223.json
random_v1_224,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_224.json
random_v1_225,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_225.json
random_v1_226,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_226.json
random_v1_227,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_227.json
random_v1_228,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_228.json
random_v1_229,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_229.json
random_v1_23,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_23.json
random_v1_230,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_230.json
random_v1_231,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_231.json
random_v1_232,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_232.json
random_v1_233,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_233.json
random_v1_234,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_234.json
random_v1_235,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_235.json
random_v1_236,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_236.json
random_v1_237,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_237.json
random_v1_238,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_238.json
random_v1_239,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_239.json
random_v1_24,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_24.json
random_v1_240,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_240.json
random_v1_241,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_241.json
random_v1_242,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_242.json
random_v1_243,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_243.json
random_v1_244,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_244.json
random_v1_245,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_245.json
random_v1_246,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_246.json
random_v1_247,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_247.json
random_v1_248,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_248.json
random_v1_249,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_249.json
random_v1_25,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_25.json
random_v1_250,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_250.json
random_v1_251,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_251.json
random_v1_252,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_252.json
random_v1_253,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_253.json
random_v1_254,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_254.json
random_v1_255,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_255.json
random_v1_256,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_256.json
random_v1_257,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_257.json
random_v1_258,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_258.json
random_v1_259,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_259.json
random_v1_26,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_26.json
random_v1_260,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_260.json
random_v1_261,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_261.json
random_v1_262,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_262.json
random_v1_263,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_263.json
random_v1_264,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_264.json
random_v1_265,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_265.json
random_v1_266,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_266.json
random_v1_267,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_267.json
random_v1_268,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_268.json
random_v1_269,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_269.json
random_v1_27,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_27.json
random_v1_270,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_270.json
random_v1_271,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_271.json
random_v1_272,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_272.json
random_v1_273,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_273.json
random_v1_274,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_274.json
random_v1_275,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_275.json
random_v1_276,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_276.json
random_v1_277,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_277.json
random_v1_278,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_278.json
random_v1_279,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_279.json
random_v1_28,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_28.json
random_v1_280,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_280.json
random_v1_281,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_281.json
random_v1_282,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_282.json
random_v1_283,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_283.json
random_v1_284,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_284.json
random_v1_285,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_285.json
random_v1_286,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_286.json
random_v1_287,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_287.json
random_v1_288,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_288.json
random_v1_289,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_289.json
random_v1_29,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_29.json
random_v1_290,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_290.json
random_v1_291,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_291.json
random_v1_292,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_292.json
random_v1_293,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_293.json
random_v1_294,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_294.json
random_v1_295,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_295.json
random_v1_296,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_296.json
random_v1_297,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_297.json
random_v1_298,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_298.json
random_v1_299,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_299.json
random_v1_3,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_3.json
random_v1_30,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_30.json
random_v1_300,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_300.json
random_v1_31,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_31.json
random_v1_32,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_32.json
random_v1_33,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_33.json
random_v1_34,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_34.json
random_v1_35,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_35.json
random_v1_36,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_36.json
random_v1_37,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_37.json
random_v1_38,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_38.json
random_v1_39,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_39.json
random_v1_4,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_4.json
random_v1_40,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_40.json
random_v1_41,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_41.json
random_v1_42,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_42.json
random_v1_43,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_43.json
random_v1_44,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_44.json
random_v1_45,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_45.json
random_v1_46,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_46.json
random_v1_47,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_47.json
random_v1_48,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_48.json
random_v1_49,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_49.json
random_v1_5,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_5.json
random_v1_50,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_50.json
random_v1_51,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_51.json
random_v1_52,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_52.json
random_v1_53,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_53.json
random_v1_54,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_54.json
random_v1_55,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_55.json
random_v1_56,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_56.json
random_v1_57,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_57.json
random_v1_58,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_58.json
random_v1_59,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_59.json
random_v1_6,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_6.json
random_v1_60,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_60.json
random_v1_61,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_61.json
random_v1_62,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_62.json
random_v1_63,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_63.json
random_v1_64,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_64.json
random_v1_65,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_65.json
random_v1_66,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_66.json
random_v1_67,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_67.json
random_v1_68,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_68.json
random_v1_69,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_69.json
random_v1_7,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_7.json
random_v1_70,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_70.json
random_v1_71,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_71.json
random_v1_72,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_72.json
random_v1_73,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_73.json
random_v1_74,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_74.json
random_v1_75,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_75.json
random_v1_76,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_76.json
random_v1_77,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_77.json
random_v1_78,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_78.json
random_v1_79,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_79.json
random_v1_8,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_8.json
random_v1_80,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_80.json
random_v1_81,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_81.json
random_v1_82,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_82.json
random_v1_83,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_83.json
random_v1_84,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_84.json
random_v1_85,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_85.json
random_v1_86,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_86.json
random_v1_87,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_87.json
random_v1_88,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_88.json
random_v1_89,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_89.json
random_v1_9,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_9.json
random_v1_90,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_90.json
random_v1_91,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_91.json
random_v1_92,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_92.json
random_v1_93,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_93.json
random_v1_94,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_94.json
random_v1_95,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_95.json
random_v1_96,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_96.json
random_v1_97,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_97.json
random_v1_98,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_98.json
random_v1_99,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_99.json
holdout_diamond_opt1,diamond,holdout,A,paper2/data/raw/holdout_graphs/holdout_diamond_opt1.json
holdout_diamond_opt2,diamond,holdout,A,paper2/data/raw/holdout_graphs/holdout_diamond_opt2.json
holdout_diamond_opt3,diamond,holdout,A,paper2/data/raw/holdout_graphs/holdout_diamond_opt3.json
holdout_diamond_opt4,diamond,holdout,A,paper2/data/raw/holdout_graphs/holdout_diamond_opt4.json
holdout_ring_opt1,ring,holdout,A,paper2/data/raw/holdout_graphs/holdout_ring_opt1.json
holdout_ring_opt2,ring,holdout,A,paper2/data/raw/holdout_graphs/holdout_ring_opt2.json
holdout_ring_opt3,ring,holdout,A,paper2/data/raw/holdout_graphs/holdout_ring_opt3.json
holdout_ring_opt4,ring,holdout,A,paper2/data/raw/holdout_graphs/holdout_ring_opt4.json
hardholdout_bowtie_opt1,bowtie,hard_holdout,A,paper2/data/raw/hard_holdout_graphs/hardholdout_bowtie_opt1.json
hardholdout_bowtie_opt2,bowtie,hard_holdout,A,paper2/data/raw/hard_holdout_graphs/hardholdout_bowtie_opt2.json
hardholdout_bowtie_opt3,bowtie,hard_holdout,A,paper2/data/raw/hard_holdout_graphs/hardholdout_bowtie_opt3.json
hardholdout_bowtie_opt4,bowtie,hard_holdout,A,paper2/data/raw/hard_holdout_graphs/hardholdout_bowtie_opt4.json
hardholdout_ladder_opt1,ladder,hard_holdout,A,paper2/data/raw/hard_holdout_graphs/hardholdout_ladder_opt1.json
hardholdout_ladder_opt2,ladder,hard_holdout,A,paper2/data/raw/hard_holdout_graphs/hardholdout_ladder_opt2.json
hardholdout_ladder_opt3,ladder,hard_holdout,A,paper2/data/raw/hard_holdout_graphs/hardholdout_ladder_opt3.json
hardholdout_ladder_opt4,ladder,hard_holdout,A,paper2/data/raw/hard_holdout_graphs/hardholdout_ladder_opt4.json
